replay_scale,scenario,target,request_p50_overhead_pct,request_p95_overhead_pct,storage_wait_overhead_pct,operation_rate_delta_pct
5,conversation,local,5.387333569992534,3.425168536327998,4.19886616435613,-4.029665859498409
5,conversation,remote,13.05737508790004,14.134406036251072,14.233635944923465,-12.460109348696529
5,toolagent,local,-1.9774736777840018,4.040193764890848,2.7518478274056966,-2.678149277203751
5,toolagent,remote,7.985979955418799,17.618826387316222,12.166722707524968,-10.846998481401249
10,conversation,local,5.962413958977769,4.488209629296111,6.24782295846871,-5.880424470530265
10,conversation,remote,13.21417568765748,14.374944689435607,13.90769494815629,-12.209618460677065
10,toolagent,local,-4.999834992420179,-5.053509188433081,0.8977154731210736,-0.8897282307537449
10,toolagent,remote,9.04655381902189,25.089137389245863,13.504656371835724,-11.897887533947351
20,conversation,local,7.344593835201017,4.571691723419505,6.73403912333717,-6.309176692413739
20,conversation,remote,11.480379199603636,10.87795890862445,14.417267492871815,-12.600604620504066
20,toolagent,local,-10.452830694194407,-7.215579846265498,0.3571824369970565,-0.35591118252794135
20,toolagent,remote,8.468822178748994,12.28704077824695,12.107570842438298,-10.799958250960136
