scenario,case_id,mode,target,trials,median_operations,median_p50_latency_us,median_p95_latency_us,median_p99_latency_us,median_operation_rate,median_produce,median_reuse,median_evict,median_request_count,median_request_hit_rate,median_block_hit_rate,median_request_p50_latency_us,median_request_p95_latency_us,median_request_arrival_lag_p50_us,median_request_arrival_lag_p95_us,median_request_arrival_lag_max_us,median_storage_wait_us,median_replay_scale,median_scheduled_span_us,median_processing_wall_us,median_completion_lag_us,median_local,median_remote
conversation,direct-local,direct,local_nvme,3,53702.0,568.01,1044.361,1120.07,2067.92272,26397.0,908.0,26397.0,1000.0,0.908,0.033254,15415.748,86955.415,360553.029,1211147.081,1526899.09,25969055.558,10.0,33000000.0,33370264.312,370264.312,53702.0,0.0
conversation,direct-remote,direct,remote_nof,3,53702.0,205.08,338.37,362.09,5778.328234,26397.0,908.0,26397.0,1000.0,0.908,0.033254,5806.183,30658.872,54265.818,164897.354,291805.992,9293691.502,10.0,33000000.0,33071433.9,71433.9,0.0,53702.0
conversation,no_store,no_store,,3,53702.0,1000.0,1000.0,1000.0,1966.746017,26397.0,908.0,26397.0,1000.0,0.908,0.033254,17000.0,90000.0,284724.903,780009.178,1123862.918,0.0,10.0,33000000.0,33148353.386,148353.386,0.0,0.0
conversation,transparent-local,transparent,local_nvme,3,53702.0,553.59,1075.311,1160.101,1992.1567,26397.0,908.0,26397.0,1000.0,0.908,0.033254,15965.01,90117.192,446115.018,1305535.822,1591587.791,26956714.8,10.0,33000000.0,33501698.105,501698.105,53702.0,0.0
conversation,transparent-remote,transparent,remote_nof,3,53702.0,219.31,383.531,405.71,5160.487647,26397.0,908.0,26397.0,1000.0,0.908,0.033254,6498.322,34217.316,60085.188,185655.305,316803.153,10406380.883,10.0,33000000.0,33081020.465,81020.465,0.0,53702.0
toolagent,direct-local,direct,local_nvme,3,35257.0,378.76,1038.551,1114.801,2086.928832,15555.0,4147.0,15555.0,1000.0,0.787,0.210486,8162.334,55179.815,791774.921,2660265.079,3016410.82,16894203.317,10.0,17399900.0,20104001.886,2704101.886,35257.0,0.0
toolagent,direct-remote,direct,remote_nof,3,35257.0,167.16,324.95,352.071,6013.911532,15555.0,4147.0,15555.0,1000.0,0.787,0.210486,3154.952,18239.526,63285.258,201342.794,371463.484,5862573.77,10.0,17399900.0,17555672.101,155772.101,0.0,35257.0
toolagent,no_store,no_store,,3,35257.0,1000.0,1000.0,1000.0,1789.513755,15555.0,4147.0,15555.0,1000.0,0.787,0.210486,13000.0,54000.0,1193979.868,3486632.064,3749589.78,0.0,10.0,17399900.0,21054497.92,3654597.92,0.0,0.0
toolagent,transparent-local,transparent,local_nvme,3,35257.0,372.97,1053.791,1142.41,2040.277038,15555.0,4147.0,15555.0,1000.0,0.787,0.210486,8264.522,56291.699,868555.593,2924779.097,3275189.174,17280496.397,10.0,17399900.0,20385856.191,2985956.191,35257.0,0.0
toolagent,transparent-remote,transparent,remote_nof,3,35257.0,169.41,373.68,397.09,5364.280984,15555.0,4147.0,15555.0,1000.0,0.787,0.210486,3304.742,20988.721,72544.572,225434.721,401285.348,6572549.071,10.0,17399900.0,17564530.046,164630.046,0.0,35257.0
