scenario,trial,target,direct_request_p50_latency_us,transparent_request_p50_latency_us,transparent_vs_direct_request_p50_latency_us_pct,direct_request_p95_latency_us,transparent_request_p95_latency_us,transparent_vs_direct_request_p95_latency_us_pct,direct_storage_wait_us,transparent_storage_wait_us,transparent_vs_direct_storage_wait_us_pct,direct_operation_rate,transparent_operation_rate,transparent_vs_direct_operation_rate_pct
toolagent,1,local,7328.196,7468.692,1.917197629539386,49449.231,50275.376,1.6706933218031172,339844737.128995,346655388.662971,2.0040479636413777,2090.178021,2049.112817,-1.9646749505266177
toolagent,1,remote,2734.861,2773.072,1.3971825259126605,16302.829,18116.484,11.124786992490694,115250496.347005,125733725.984004,9.09603860224194,6163.409465,5649.526366,-8.337643343642425
toolagent,2,local,7262.022,7418.564,2.1556255268849416,49046.957,50809.973,3.59454716018365,336775678.578991,347927436.266993,3.311331072082255,2109.225948,2041.621114,-3.2051963927384683
toolagent,2,remote,2673.741,2774.561,3.7707466804002396,16061.35,17994.168,12.033969747250394,113644535.550002,125608139.492008,10.527214427078361,6250.507308,5655.174918,-9.524545139528705
toolagent,3,local,7222.804,7436.062,2.952565236437259,48038.063,50810.786,5.77192923036884,331607423.37499,347710857.778979,4.856174279843805,2142.099211,2042.892777,-4.631271674559249
toolagent,3,remote,2670.21,2794.17,4.642331502016696,16067.216,18003.682,12.052280868073225,113372543.455003,125381248.095004,10.592251240060792,6265.502902,5665.40859,-9.577751720591257
