scenario,target,trials,median_direct_request_p50_latency_us,median_transparent_request_p50_latency_us,median_transparent_vs_direct_request_p50_latency_us_pct,median_direct_request_p95_latency_us,median_transparent_request_p95_latency_us,median_transparent_vs_direct_request_p95_latency_us_pct,median_direct_storage_wait_us,median_transparent_storage_wait_us,median_transparent_vs_direct_storage_wait_us_pct,median_direct_operation_rate,median_transparent_operation_rate,median_transparent_vs_direct_operation_rate_pct
conversation,local,3,16524.227,17598.154,5.962413958977769,86987.002,90891.161,4.488209629296111,13206545.988,14135345.537,6.24782295846871,2110.089953,1971.441018,-5.880424470530265
conversation,remote,3,6388.064,7180.602,13.21417568765748,32324.223,37471.171,14.374944689435607,4828685.138,5500243.937,13.90769494815629,5771.136283,5066.502562,-12.209618460677065
toolagent,local,3,8539.235,8117.823,-4.999834992420179,57557.311,54648.647,-5.053509188433081,8371029.104,8412527.665,0.8977154731210736,2085.765057,2075.476087,-0.8897282307537449
toolagent,remote,3,3132.169,3373.706,9.04655381902189,19727.593,24100.081,25.089137389245863,2951700.723,3379935.318,13.504656371835724,5915.233839,5165.779329,-11.897887533947351
