size_bytes,target,metric,direct_median,transparent_median,ratio_of_medians_pct,median_paired_delta_pct,min_paired_delta_pct,max_paired_delta_pct
65536,remote_nof,remove_p50_us,58.43,58.311,-0.203663,-0.203663,-1.177675,0.257422
65536,remote_nof,remove_p95_us,65.58,67.48,2.897225,1.71842,-0.243977,5.997836
65536,remote_nof,remove_p99_us,82.4,85.14,3.325243,5.383025,-6.604945,14.587379
65536,remote_nof,request_p50_us,814.6,951.491,16.804689,17.096208,14.545211,19.871225
65536,remote_nof,request_p95_us,860.731,1044.421,21.341162,21.553135,13.987833,31.210564
65536,remote_nof,storage_wait_us,50805.016,52287.277,2.917549,4.501628,-7.361364,11.462872
131072,local_nvme,get_p50_us,519.17,519.88,0.136757,0.104012,-12.235803,1.441774
131072,local_nvme,get_p95_us,962.471,985.26,2.36776,-9.803248,-18.752835,5.074335
131072,local_nvme,get_p99_us,21695.44,15561.287,-28.273928,-3.842011,-28.273928,-1.079278
131072,local_nvme,operation_rate,1521.058026,1501.089923,-1.312777,0.124853,-2.451857,5.094786
131072,local_nvme,overall_p50_us,519.17,519.88,0.136757,0.104012,-12.235803,1.441774
131072,local_nvme,overall_p95_us,1078.271,1110.79,3.015847,4.535038,-6.880962,7.132744
131072,local_nvme,overall_p99_us,3666.762,6710.663,83.013323,47.468756,-2.491836,83.013323
131072,local_nvme,put_p50_us,855.55,859.05,0.409094,-0.001169,-4.831382,10.952245
131072,local_nvme,put_p95_us,1166.53,1247.67,6.955672,11.636306,2.351088,16.069518
131072,local_nvme,put_p99_us,1582.601,1710.811,8.101221,6.939254,2.912053,47.468756
131072,local_nvme,remove_p50_us,56.6,57.39,1.39576,1.042403,-6.087383,2.419068
131072,local_nvme,remove_p95_us,65.67,66.571,1.372012,4.231765,-3.267945,5.421398
131072,local_nvme,remove_p99_us,92.2,81.83,-11.247289,-9.598698,-16.865423,-9.168609
131072,local_nvme,request_p50_us,3269.702,3292.712,0.703734,-1.817597,-5.299711,11.314222
131072,local_nvme,request_p95_us,4770.653,5177.481,8.527721,10.637926,4.649704,16.14519
131072,local_nvme,storage_wait_us,97300.693,98595.026,1.33024,-0.124697,-4.847801,2.513484
131072,remote_nof,get_p50_us,157.28,158.68,0.890132,0.890132,0.147199,1.594562
131072,remote_nof,get_p95_us,170.58,173.28,1.582835,-0.040381,-1.999062,8.26496
131072,remote_nof,get_p99_us,191.14,192.76,0.847546,0.790162,-0.049179,0.847546
131072,remote_nof,operation_rate,2569.445872,2536.880674,-1.267402,1.742197,-14.089499,2.065623
131072,remote_nof,overall_p50_us,157.28,158.68,0.890132,0.890132,0.147199,1.594562
131072,remote_nof,overall_p95_us,244.001,292.46,19.860165,19.860165,17.130788,20.701032
131072,remote_nof,overall_p99_us,318.92,378.37,18.641039,19.741628,15.561053,20.336963
131072,remote_nof,put_p50_us,232.83,272.97,17.240046,17.240046,15.736564,17.818642
131072,remote_nof,put_p95_us,276.82,306.55,10.739831,12.41703,6.892566,19.825004
131072,remote_nof,put_p99_us,35377.416,33792.706,-4.47944,-8.7503,-9.344717,22.0781
131072,remote_nof,remove_p50_us,59.41,59.42,0.016832,0.016832,-1.038526,0.625317
131072,remote_nof,remove_p95_us,65.82,67.97,3.266484,0.517598,0.25828,5.848043
131072,remote_nof,remove_p99_us,85.64,85.271,-0.430873,-0.963212,-2.195236,1.199858
131072,remote_nof,request_p50_us,915.242,1052.799,15.029577,15.267984,14.895387,15.35349
131072,remote_nof,request_p95_us,959.3,1120.09,16.76118,17.475117,15.380069,23.145488
131072,remote_nof,storage_wait_us,57599.968,58339.362,1.283671,-1.712364,-2.023818,16.400206
262144,local_nvme,get_p50_us,687.24,689.04,0.261917,-0.716126,-0.810798,0.261917
262144,local_nvme,get_p95_us,1060.171,1040.57,-1.848853,-8.294055,-33.33786,43.46563
262144,local_nvme,get_p99_us,15778.008,15684.637,-0.591779,-3.417358,-43.555291,2.249335
262144,local_nvme,operation_rate,1231.385005,1205.160056,-2.129712,-4.077557,-6.027954,4.600323
262144,local_nvme,overall_p50_us,687.24,689.04,0.261917,-0.716126,-0.810798,0.261917
262144,local_nvme,overall_p95_us,1291.55,1355.6,4.959158,0.54361,-3.323805,5.404672
262144,local_nvme,overall_p99_us,6863.343,12716.526,85.281808,88.850623,-49.979054,553.829159
262144,local_nvme,put_p50_us,1065.67,1092.96,2.56083,2.015177,1.705031,11.281395
262144,local_nvme,put_p95_us,1459.501,1571.511,7.674541,8.818078,-4.524149,9.622125
262144,local_nvme,put_p99_us,2099.781,2139.011,1.86829,1.86829,0.215899,5.334894
262144,local_nvme,remove_p50_us,57.541,57.79,0.432735,0.432735,0.12193,2.18902
262144,local_nvme,remove_p95_us,66.36,66.94,0.87402,0.87402,-2.411765,9.674389
262144,local_nvme,remove_p99_us,81.69,86.23,5.557596,1.273106,-57.282275,11.12767
