reuse_ratio,trial,trace_sha256,case_id,mode,target,operations,produce,reuse,evict,local,remote,miss,miss_rate,block_hit_rate,request_count,request_hit_rate,p50_latency_us,p95_latency_us,p99_latency_us,request_p50_latency_us,request_p95_latency_us,storage_wait_us,operation_rate,cpu_utilization_pct
0.5,2,3a49f1f79b9fdd5df28ad41190dfb5839524ef397052bae178b7f4e9b9d47051,direct-remote,direct,remote_nof,148,52,44,52,0,148,0,0.0,0.458333,24,0.458333,159.94,239.731,312.171,901.911,937.9,53878.752,2746.908466,
0.5,2,3a49f1f79b9fdd5df28ad41190dfb5839524ef397052bae178b7f4e9b9d47051,no_store,no_store,,148,52,44,52,0,0,0,0.0,0.458333,24,0.458333,1000.0,1000.0,1000.0,4000.0,4000.0,0,1541.666667,
0.5,2,3a49f1f79b9fdd5df28ad41190dfb5839524ef397052bae178b7f4e9b9d47051,transparent-local,transparent,local_nvme,148,52,44,52,148,0,0,0.0,0.458333,24,0.458333,543.971,989.631,9061.584,3359.491,4690.443,94752.89,1561.957635,
0.5,2,3a49f1f79b9fdd5df28ad41190dfb5839524ef397052bae178b7f4e9b9d47051,transparent-remote,transparent,remote_nof,148,52,44,52,0,148,0,0.0,0.458333,24,0.458333,160.18,289.04,347.75,1053.7,1106.641,61136.019,2420.831491,
0.5,3,3a49f1f79b9fdd5df28ad41190dfb5839524ef397052bae178b7f4e9b9d47051,direct-local,direct,local_nvme,148,52,44,52,148,0,0,0.0,0.458333,24,0.458333,557.771,1098.671,2127.901,3189.152,4720.592,100974.977,1465.709668,
0.5,3,3a49f1f79b9fdd5df28ad41190dfb5839524ef397052bae178b7f4e9b9d47051,direct-remote,direct,remote_nof,148,52,44,52,0,148,0,0.0,0.458333,24,0.458333,159.12,260.55,300.72,920.37,1008.571,52052.407,2843.288304,
0.5,3,3a49f1f79b9fdd5df28ad41190dfb5839524ef397052bae178b7f4e9b9d47051,no_store,no_store,,148,52,44,52,0,0,0,0.0,0.458333,24,0.458333,1000.0,1000.0,1000.0,4000.0,4000.0,0,1541.666667,
0.5,3,3a49f1f79b9fdd5df28ad41190dfb5839524ef397052bae178b7f4e9b9d47051,transparent-local,transparent,local_nvme,148,52,44,52,148,0,0,0.0,0.458333,24,0.458333,547.04,1106.271,2005.921,3305.361,4681.093,99395.38,1489.002809,
0.5,3,3a49f1f79b9fdd5df28ad41190dfb5839524ef397052bae178b7f4e9b9d47051,transparent-remote,transparent,remote_nof,148,52,44,52,0,148,0,0.0,0.458333,24,0.458333,160.009,289.11,388.23,1041.56,1182.721,55748.586,2654.775854,
0.9,1,5744e30a133292e000147ebfcce85c42e9eca53ca9af6abf3e6cf87a5869ba07,direct-local,direct,local_nvme,104,8,88,8,104,0,0,0.0,0.916667,24,0.916667,542.8,1117.42,5489.993,2188.311,4730.482,83376.579,1247.352689,
