reuse_ratio,trial,target,mode,case_id,operation,count,mean_us,p50_us,p95_us,p99_us
0.5,3,,no_store,no_store,noop,52,0.0,0.0,0.0,0.0
0.5,3,,no_store,no_store,recompute,96,1000.0,1000.0,1000.0,1000.0
0.5,3,local_nvme,transparent,transparent-local,get,44,1096.236864,547.04,752.19,22224.471
0.5,3,local_nvme,transparent,transparent-local,put,52,925.532904,865.801,1189.76,1479.251
0.5,3,local_nvme,transparent,transparent-local,remove,52,58.331673,57.36,64.129,82.52
0.5,3,remote_nof,transparent,transparent-remote,get,44,162.559545,160.009,180.59,191.14
0.5,3,remote_nof,transparent,transparent-remote,put,52,874.367135,270.32,331.26,31473.065
0.5,3,remote_nof,transparent,transparent-remote,remove,52,60.170673,59.0,67.59,83.951
0.9,1,local_nvme,direct,direct-local,get,88,844.056875,542.8,781.47,15986.738
0.9,1,local_nvme,direct,direct-local,put,8,1075.1955,958.241,1585.67,1585.67
0.9,1,local_nvme,direct,direct-local,remove,8,62.25125,57.61,85.66,85.66
0.9,1,remote_nof,direct,direct-remote,get,88,160.029114,157.85,172.38,201.82
0.9,1,remote_nof,direct,direct-remote,put,8,4430.2935,247.26,33642.566,33642.566
0.9,1,remote_nof,direct,direct-remote,remove,8,66.162375,61.429,91.56,91.56
0.9,1,,no_store,no_store,noop,8,0.0,0.0,0.0,0.0
0.9,1,,no_store,no_store,recompute,96,1000.0,1000.0,1000.0,1000.0
0.9,1,local_nvme,transparent,transparent-local,get,88,839.484659,537.04,623.2,15058.157
0.9,1,local_nvme,transparent,transparent-local,put,8,1097.6255,1009.351,1505.991,1505.991
0.9,1,local_nvme,transparent,transparent-local,remove,8,61.162625,57.161,84.99,84.99
0.9,1,remote_nof,transparent,transparent-remote,get,88,160.020557,157.1,176.02,200.41
0.9,1,remote_nof,transparent,transparent-remote,put,8,4563.545875,283.641,34502.756,34502.756
0.9,1,remote_nof,transparent,transparent-remote,remove,8,64.605,60.15,85.78,85.78
0.9,2,local_nvme,direct,direct-local,get,88,833.655045,537.63,592.82,14538.527
0.9,2,local_nvme,direct,direct-local,put,8,1042.63675,956.97,1641.721,1641.721
0.9,2,local_nvme,direct,direct-local,remove,8,64.09,57.47,90.23,90.23
0.9,2,remote_nof,direct,direct-remote,get,88,161.885943,159.36,177.03,186.44
0.9,2,remote_nof,direct,direct-remote,put,8,4887.763625,249.45,37313.578,37313.578
0.9,2,remote_nof,direct,direct-remote,remove,8,65.06125,59.7,88.99,88.99
0.9,2,,no_store,no_store,noop,8,0.0,0.0,0.0,0.0
0.9,2,,no_store,no_store,recompute,96,1000.0,1000.0,1000.0,1000.0
0.9,2,local_nvme,transparent,transparent-local,get,88,839.058466,535.65,668.77,14765.607
0.9,2,local_nvme,transparent,transparent-local,put,8,1135.82825,1002.381,1634.521,1634.521
0.9,2,local_nvme,transparent,transparent-local,remove,8,65.55375,61.42,85.44,85.44
0.9,2,remote_nof,transparent,transparent-remote,get,88,158.435205,156.36,166.47,188.101
