scenario,trial,target,direct_request_p50_latency_us,transparent_request_p50_latency_us,transparent_vs_direct_request_p50_latency_us_pct,direct_request_p95_latency_us,transparent_request_p95_latency_us,transparent_vs_direct_request_p95_latency_us_pct,direct_storage_wait_us,transparent_storage_wait_us,transparent_vs_direct_storage_wait_us_pct,direct_operation_rate,transparent_operation_rate,transparent_vs_direct_operation_rate_pct
conversation,1,local,16372.348,17254.381,5.387333569992534,87046.902,89415.613,2.7211893192936327,12904706.237,13430328.555,4.073105643373352,2159.44474,2074.930623,-3.913696675562984
conversation,1,remote,6666.106,7661.402,14.930695671505978,32626.518,37098.786,13.707463358486493,4933667.726,5550756.714,12.507712766062347,5648.333359,5020.396576,-11.11720472375186
conversation,2,local,16388.616,17225.089,5.103988036573668,87853.166,90862.285,3.425168536327998,13038062.862,13585513.672,4.19886616435613,2137.357389,2051.229028,-4.029665859498409
conversation,2,remote,6699.371,7574.133,13.05737508790004,33410.758,38388.283,14.897970887101696,4897534.339,5640275.382,15.165611746413129,5690.006046,4940.716208,-13.168524461001962
conversation,3,local,16419.205,17345.659,5.642502179612215,86620.037,92919.529,7.272557503063637,13002311.77,13734241.384,5.629226763265038,2143.234257,2029.016326,-5.329232239870834
conversation,3,remote,6768.474,7525.778,11.188696299934078,33214.788,37909.501,14.134406036251072,4880912.303,5575643.591,14.233635944923465,5709.383466,4997.988043,-12.460109348696529
toolagent,1,local,8420.835,7935.665,-5.761542649867849,50213.198,51188.473,1.942268245890257,8137541.66,8329387.42,2.3575395127378034,2145.611135,2096.192567,-2.3032397247509646
toolagent,1,remote,3243.642,3474.783,7.125971361821066,20586.042,24213.061,17.618826387316222,3061289.209,3420378.919,11.730015868618327,5703.479419,5104.697583,-10.498535928880154
toolagent,2,local,8484.563,8316.783,-1.9774736777840018,49992.132,52011.911,4.040193764890848,8179414.892,8404499.943,2.7518478274056966,2134.627016,2077.458518,-2.678149277203751
toolagent,2,remote,3224.572,3504.861,8.692285363762997,19931.132,23978.608,20.30730617809364,3067987.748,3441261.31,12.166722707524968,5691.026638,5073.721065,-10.846998481401249
toolagent,3,local,8391.024,8374.024,-0.2025974422192095,49723.207,51799.306,4.175311942369274,8158102.031,8551568.685,4.823017075599996,2140.203681,2041.730663,-4.601104973055128
toolagent,3,remote,3243.071,3502.062,7.985979955418799,20865.596,24286.247,16.39373732722515,3060865.63,3444631.744,12.537829502825973,5704.268697,5068.756633,-11.140991032456625
