scenario,target,trials,median_direct_request_p50_latency_us,median_transparent_request_p50_latency_us,median_transparent_vs_direct_request_p50_latency_us_pct,median_direct_request_p95_latency_us,median_transparent_request_p95_latency_us,median_transparent_vs_direct_request_p95_latency_us_pct,median_direct_storage_wait_us,median_transparent_storage_wait_us,median_transparent_vs_direct_storage_wait_us_pct,median_direct_operation_rate,median_transparent_operation_rate,median_transparent_vs_direct_operation_rate_pct
conversation,local,3,16388.616,17254.381,5.387333569992534,87046.902,90862.285,3.425168536327998,13002311.77,13585513.672,4.19886616435613,2143.234257,2051.229028,-4.029665859498409
conversation,remote,3,6699.371,7574.133,13.05737508790004,33214.788,37909.501,14.134406036251072,4897534.339,5575643.591,14.233635944923465,5690.006046,4997.988043,-12.460109348696529
toolagent,local,3,8420.835,8316.783,-1.9774736777840018,49992.132,51799.306,4.040193764890848,8158102.031,8404499.943,2.7518478274056966,2140.203681,2077.458518,-2.678149277203751
toolagent,remote,3,3243.071,3502.062,7.985979955418799,20586.042,24213.061,17.618826387316222,3061289.209,3441261.31,12.166722707524968,5703.479419,5073.721065,-10.846998481401249
