scenario,case_id,mode,target,trials,median_operations,median_p50_latency_us,median_p95_latency_us,median_p99_latency_us,median_operation_rate,median_produce,median_reuse,median_evict,median_request_count,median_request_hit_rate,median_block_hit_rate,median_request_p50_latency_us,median_request_p95_latency_us,median_request_arrival_lag_p50_us,median_request_arrival_lag_p95_us,median_request_arrival_lag_max_us,median_storage_wait_us,median_replay_scale,median_scheduled_span_us,median_processing_wall_us,median_completion_lag_us,median_local,median_remote
conversation,direct-local,direct,local_nvme,3,27867.0,593.96,1026.97,1093.301,2077.22268,13705.0,457.0,13705.0,500.0,0.914,0.032269,16648.567,87870.003,2987625.119,7036026.775,7251944.102,13415509.212,20.0,8250000.0,15537635.399,7287635.399,27867.0,0.0
conversation,direct-remote,direct,remote_nof,3,27867.0,167.96,252.26,339.87,6474.438716,13705.0,457.0,13705.0,500.0,0.914,0.032269,5566.567,30097.615,59337.925,206079.695,285391.991,4304156.889,20.0,8250000.0,8369694.201,119694.201,0.0,27867.0
conversation,no_store,no_store,,3,27867.0,1000.0,1000.0,1000.0,1967.730547,13705.0,457.0,13705.0,500.0,0.914,0.032269,18000.0,98000.0,3072133.499,6558187.85,6734843.566,0.0,20.0,8250000.0,15017780.571,6767780.571,0.0,0.0
conversation,transparent-local,transparent,local_nvme,3,27867.0,583.27,1070.691,1161.79,1972.670364,13705.0,457.0,13705.0,500.0,0.914,0.032269,17726.766,91319.004,3410668.62,7776158.73,7951040.685,14126536.55,20.0,8250000.0,16238555.413,7988555.413,27867.0,0.0
conversation,transparent-remote,transparent,remote_nof,3,27867.0,169.63,295.19,378.97,5696.952426,13705.0,457.0,13705.0,500.0,0.914,0.032269,6183.752,32696.23,78585.56,245910.118,331895.143,4891562.702,20.0,8250000.0,8409891.15,159891.15,0.0,27867.0
toolagent,direct-local,direct,local_nvme,3,17460.0,411.461,1023.92,1097.411,2082.457468,7695.0,2070.0,7695.0,500.0,0.796,0.211982,8531.423,57705.239,3099373.689,4978204.87,5294612.67,8384324.899,20.0,4500000.0,9806599.666,5306599.666,17460.0,0.0
toolagent,direct-remote,direct,remote_nof,3,17460.0,164.54,243.57,307.67,6379.35629,7695.0,2070.0,7695.0,500.0,0.796,0.211982,2638.47,16844.422,84657.863,199678.825,267154.454,2736953.261,20.0,4500000.0,4719993.561,219993.561,0.0,17460.0
toolagent,no_store,no_store,,3,17460.0,1000.0,1000.0,1000.0,1788.018433,7695.0,2070.0,7695.0,500.0,0.796,0.211982,13000.0,54000.0,2941225.567,5475542.467,5836296.399,0.0,20.0,4500000.0,10350143.776,5850143.776,0.0,0.0
toolagent,transparent-local,transparent,local_nvme,3,17460.0,375.81,988.461,1136.42,2075.045769,7695.0,2070.0,7695.0,500.0,0.796,0.211982,7687.226,53184.745,2848395.521,4914464.04,5238280.804,8414272.235,20.0,4500000.0,9749707.42,5249707.42,17460.0,0.0
toolagent,transparent-remote,transparent,remote_nof,3,17460.0,166.08,291.26,350.9,5690.388474,7695.0,2070.0,7695.0,500.0,0.796,0.211982,2872.659,18914.103,110491.418,288926.517,385336.256,3068331.816,20.0,4500000.0,4864291.109,364291.109,0.0,17460.0
