scenario,trial,target,direct_request_p50_latency_us,transparent_request_p50_latency_us,transparent_vs_direct_request_p50_latency_us_pct,direct_request_p95_latency_us,transparent_request_p95_latency_us,transparent_vs_direct_request_p95_latency_us_pct,direct_storage_wait_us,transparent_storage_wait_us,transparent_vs_direct_storage_wait_us_pct,direct_operation_rate,transparent_operation_rate,transparent_vs_direct_operation_rate_pct
conversation,1,local,16570.359,17928.287,8.194922029148554,87850.811,91131.29,3.7341476563033575,13252115.213,14009406.058,5.714490349865937,2099.664812,1986.165572,-5.405588518287741
conversation,1,remote,5246.39,6083.641,15.958611540506887,29242.999,33196.848,13.520668656453458,4209085.179,4815573.838,14.409037432311866,6610.700144,5778.127579,-12.594317498361493
conversation,2,local,16865.867,17787.577,5.464942893241141,88904.133,90539.114,1.8390382368387752,13489524.658,14002039.234,3.7993523789294623,2062.711675,1987.210544,-3.6602852407862567
conversation,2,remote,5308.773,6090.357,14.722498023554593,29355.263,32729.898,11.495843181510594,4204491.358,4814531.876,14.50925845855907,6617.922985,5779.378082,-12.670816884702685
conversation,3,local,16556.1,17559.61,6.061270468286626,86535.54,90901.313,5.045063565790428,13278476.253,13881661.574,4.5425793555470735,2095.496461,2004.443045,-4.3451954080871245
conversation,3,remote,5281.34,5999.985,13.607247403121168,29410.164,33348.896,13.392417668939213,4208965.534,4788605.722,13.771559384786356,6610.888062,5810.668411,-12.104571178564305
toolagent,1,local,6858.121,6615.991,-3.530558880486362,56915.854,53734.965,-5.58875739613782,8001003.675,8150405.883,1.867293330545815,2112.984906,2074.252527,-1.8330646324077449
toolagent,1,remote,2523.13,2616.045,3.6825292394763633,16547.097,18622.39,12.54173466197725,2636177.86,2888490.329,9.571147411123468,6413.072599,5852.884405,-8.73509827547175
toolagent,2,local,6886.332,6738.275,-2.150012517549266,56885.997,55406.577,-2.6006751714310385,8060383.362,8249256.364,2.343226041709458,2097.41885,2049.396849,-2.289576113993627
toolagent,2,remote,2562.221,2621.248,2.303743510025093,16594.301,18222.835,9.813814995883224,2657175.42,2859444.722,7.612192272951258,6362.395148,5912.33671,-7.073726600295717
toolagent,3,local,6963.324,6453.595,-7.32019650385361,56509.97,52688.712,-6.762095255049687,8011339.59,7910960.947,-1.252957035116772,2110.258816,2137.034946,1.2688552606430714
toolagent,3,remote,2539.889,2607.99,2.6812589054088445,16313.193,18174.374,11.409054009230445,2593916.229,2846245.452,9.727732151831194,6517.558204,5939.75477,-8.865336003372965
