scenario,case_id,mode,target,trials,median_operations,median_p50_latency_us,median_p95_latency_us,median_p99_latency_us,median_operation_rate,median_produce,median_reuse,median_evict,median_request_count,median_request_hit_rate,median_block_hit_rate,median_request_p50_latency_us,median_request_p95_latency_us,median_storage_wait_us,median_local,median_remote
conversation,direct-local,direct,local_nvme,3,27825.0,621.51,1011.97,1092.08,2095.496461,13663.0,499.0,13663.0,500.0,0.998,0.035235,16570.359,87850.811,13278476.253,27825.0,0.0
conversation,direct-remote,direct,remote_nof,3,27825.0,165.58,240.061,247.601,6610.888062,13663.0,499.0,13663.0,500.0,0.998,0.035235,5281.34,29355.263,4208965.534,0.0,27825.0
conversation,no_store,no_store,,3,27825.0,1000.0,1000.0,1000.0,1964.764864,13663.0,499.0,13663.0,500.0,0.998,0.035235,18000.0,98000.0,0.0,0.0,0.0
conversation,transparent-local,transparent,local_nvme,3,27825.0,596.58,1062.44,1147.031,1987.210544,13663.0,499.0,13663.0,500.0,0.998,0.035235,17787.577,90901.313,14002039.234,27825.0,0.0
conversation,transparent-remote,transparent,remote_nof,3,27825.0,167.96,288.64,304.14,5779.378082,13663.0,499.0,13663.0,500.0,0.998,0.035235,6083.641,33196.848,4814531.876,0.0,27825.0
toolagent,direct-local,direct,local_nvme,3,16906.0,409.37,999.521,1083.87,2110.258816,7141.0,2624.0,7141.0,500.0,0.964,0.268715,6886.332,56885.997,8011339.59,16906.0,0.0
toolagent,direct-remote,direct,remote_nof,3,16906.0,162.581,245.81,253.909,6413.072599,7141.0,2624.0,7141.0,500.0,0.964,0.268715,2539.889,16547.097,2636177.86,0.0,16906.0
toolagent,no_store,no_store,,3,16906.0,1000.0,1000.0,1000.0,1731.285202,7141.0,2624.0,7141.0,500.0,0.964,0.268715,13000.0,54000.0,0.0,0.0,0.0
toolagent,transparent-local,transparent,local_nvme,3,16906.0,371.86,1024.351,1128.951,2074.252527,7141.0,2624.0,7141.0,500.0,0.964,0.268715,6615.991,53734.965,8150405.883,16906.0,0.0
toolagent,transparent-remote,transparent,remote_nof,3,16906.0,162.131,276.98,287.63,5912.33671,7141.0,2624.0,7141.0,500.0,0.964,0.268715,2616.045,18222.835,2859444.722,0.0,16906.0
