scenario,trial,target,anchor_position,case_id,elapsed_sec,system_cpu_pct,nic_rx_Bps,nic_tx_Bps,client_block_util_pct,exit_code,local_temperature_c_before,target_temperature_c_before,local_temperature_c_after,target_temperature_c_after
idle,1,local_nvme,,direct-local,14.709773283917457,0.056701688037138945,0.0,0.0,0.0883766170224609,0,35.85000000000002,19.0,35.85000000000002,19.0
idle,1,remote_nof,,direct-remote,2.5594823607243598,0.12134810880117226,0.0,0.0,0.0,0,36.85000000000002,19.0,36.85000000000002,19.0
idle,1,,,no_store,0.0889877830632031,0.21944261575597981,0.0,0.0,0.0,0,35.85000000000002,19.0,35.85000000000002,19.0
idle,1,local_nvme,,transparent-local,14.714171436149627,0.0581443972297779,0.0,0.0,0.061165523584215495,0,35.85000000000002,19.0,35.85000000000002,19.0
idle,1,remote_nof,,transparent-remote,3.5467741517350078,0.0947272186546532,0.0,0.0,0.0,0,36.85000000000002,19.0,36.85000000000002,19.0
idle,2,local_nvme,,direct-local,14.692986336071044,0.05144915108900703,0.0,0.0,0.07486565187224858,0,36.85000000000002,23.0,35.85000000000002,22.0
idle,2,remote_nof,,direct-remote,2.504312284756452,0.0920393741322559,0.0,0.0,0.0,0,36.85000000000002,20.0,36.85000000000002,20.0
idle,2,,,no_store,0.0914296736009419,0.19305019305019305,0.0,0.0,0.0,0,36.85000000000002,25.0,36.85000000000002,25.0
idle,2,local_nvme,,transparent-local,14.69425749592483,0.060883771816131006,0.0,0.0,0.05444303669116079,0,36.85000000000002,24.0,36.85000000000002,23.0
idle,2,remote_nof,,transparent-remote,2.479778483044356,0.09375024619287341,0.0,0.0,0.0,0,36.85000000000002,20.0,36.85000000000002,20.0
idle,3,local_nvme,,direct-local,14.722080801147968,0.058909927516906754,0.0,0.0,0.10868028926150429,0,37.85000000000002,20.0,37.85000000000002,20.0
idle,3,remote_nof,,direct-remote,3.5327611840330064,0.07630295591016156,0.0,0.0,0.0,0,38.85000000000002,19.0,37.85000000000002,19.0
idle,3,,,no_store,0.08901322307065129,0.307152259763054,0.0,0.0,0.0,0,37.85000000000002,20.0,37.85000000000002,20.0
idle,3,local_nvme,,transparent-local,14.7368598356843,0.056465348700037776,0.0,0.0,0.06785706121588864,0,37.85000000000002,20.0,37.85000000000002,19.0
