scenario,trial,trace_sha256,case_id,mode,target,operations,p50_latency_us,p95_latency_us,p99_latency_us,operation_rate,produce,reuse,evict,miss,request_count,request_hit_rate,block_hit_rate,miss_rate,request_p50_latency_us,request_p95_latency_us,storage_wait_us,cpu_utilization_pct,local,remote
local50,1,3a49f1f79b9fdd5df28ad41190dfb5839524ef397052bae178b7f4e9b9d47051,direct-local,direct,local_nvme,148,550.21,1086.131,9636.764,1527.601231,52,44,52,0,24,0.458333,0.458333,0.0,3258.612,4970.241,96883.923,,148,0
local50,1,3a49f1f79b9fdd5df28ad41190dfb5839524ef397052bae178b7f4e9b9d47051,direct-remote,direct,remote_nof,148,157.84,247.6,338.19,2153.284245,52,44,52,0,24,0.458333,0.458333,0.0,919.179,1044.801,68732.217,,0,148
local50,1,3a49f1f79b9fdd5df28ad41190dfb5839524ef397052bae178b7f4e9b9d47051,no_store,no_store,,148,1000.0,1000.0,1000.0,1541.666667,52,44,52,0,24,0.458333,0.458333,0.0,4000.0,4000.0,0,,0,0
local50,1,3a49f1f79b9fdd5df28ad41190dfb5839524ef397052bae178b7f4e9b9d47051,transparent-local,transparent,local_nvme,148,521.46,1112.55,2531.211,1498.174383,52,44,52,0,24,0.458333,0.458333,0.0,3349.033,5245.702,98786.898,,148,0
local50,1,3a49f1f79b9fdd5df28ad41190dfb5839524ef397052bae178b7f4e9b9d47051,transparent-remote,transparent,remote_nof,148,160.331,287.47,366.37,2371.716537,52,44,52,0,24,0.458333,0.458333,0.0,1037.92,1144.101,62402.061,,0,148
local50,2,3a49f1f79b9fdd5df28ad41190dfb5839524ef397052bae178b7f4e9b9d47051,direct-local,direct,local_nvme,148,553.13,1051.99,6588.173,1518.894966,52,44,52,0,24,0.458333,0.458333,0.0,3263.081,5102.543,97439.259,,148,0
local50,2,3a49f1f79b9fdd5df28ad41190dfb5839524ef397052bae178b7f4e9b9d47051,direct-remote,direct,remote_nof,148,161.0,245.54,351.561,2702.188073,52,44,52,0,24,0.458333,0.458333,0.0,910.39,955.162,54770.429,,0,148
local50,2,3a49f1f79b9fdd5df28ad41190dfb5839524ef397052bae178b7f4e9b9d47051,no_store,no_store,,148,1000.0,1000.0,1000.0,1541.666667,52,44,52,0,24,0.458333,0.458333,0.0,4000.0,4000.0,0,,0,0
local50,2,3a49f1f79b9fdd5df28ad41190dfb5839524ef397052bae178b7f4e9b9d47051,transparent-local,transparent,local_nvme,148,523.85,1115.74,13280.906,1431.555046,52,44,52,0,24,0.458333,0.458333,0.0,3364.691,5228.323,103384.079,,148,0
local50,2,3a49f1f79b9fdd5df28ad41190dfb5839524ef397052bae178b7f4e9b9d47051,transparent-remote,transparent,remote_nof,148,160.24,282.2,398.98,2742.597174,52,44,52,0,24,0.458333,0.458333,0.0,1021.16,1086.11,53963.448,,0,148
local50,3,3a49f1f79b9fdd5df28ad41190dfb5839524ef397052bae178b7f4e9b9d47051,direct-local,direct,local_nvme,148,551.62,1092.191,12466.626,1434.503043,52,44,52,0,24,0.458333,0.458333,0.0,3233.252,5267.573,103171.618,,148,0
local50,3,3a49f1f79b9fdd5df28ad41190dfb5839524ef397052bae178b7f4e9b9d47051,direct-remote,direct,remote_nof,148,158.74,243.38,336.2,2498.995885,52,44,52,0,24,0.458333,0.458333,0.0,895.221,1008.559,59223.787,,0,148
local50,3,3a49f1f79b9fdd5df28ad41190dfb5839524ef397052bae178b7f4e9b9d47051,no_store,no_store,,148,1000.0,1000.0,1000.0,1541.666667,52,44,52,0,24,0.458333,0.458333,0.0,4000.0,4000.0,0,,0,0
local50,3,3a49f1f79b9fdd5df28ad41190dfb5839524ef397052bae178b7f4e9b9d47051,transparent-local,transparent,local_nvme,148,594.831,1217.17,12613.636,1326.295424,52,44,52,0,24,0.458333,0.458333,0.0,3715.322,5301.083,111589.015,,148,0
local50,3,3a49f1f79b9fdd5df28ad41190dfb5839524ef397052bae178b7f4e9b9d47051,transparent-remote,transparent,remote_nof,148,158.92,280.12,459.99,2734.194825,52,44,52,0,24,0.458333,0.458333,0.0,1024.519,1099.91,54129.281,,0,148
local50,4,3a49f1f79b9fdd5df28ad41190dfb5839524ef397052bae178b7f4e9b9d47051,direct-local,direct,local_nvme,148,529.01,1033.9,1776.681,1562.1439,52,44,52,0,24,0.458333,0.458333,0.0,3181.922,4987.543,94741.592,,148,0
local50,4,3a49f1f79b9fdd5df28ad41190dfb5839524ef397052bae178b7f4e9b9d47051,direct-remote,direct,remote_nof,148,160.03,246.37,587.991,2812.23681,52,44,52,0,24,0.458333,0.458333,0.0,893.62,1297.881,52627.147,,0,148
local50,4,3a49f1f79b9fdd5df28ad41190dfb5839524ef397052bae178b7f4e9b9d47051,no_store,no_store,,148,1000.0,1000.0,1000.0,1541.666667,52,44,52,0,24,0.458333,0.458333,0.0,4000.0,4000.0,0,,0,0
local50,4,3a49f1f79b9fdd5df28ad41190dfb5839524ef397052bae178b7f4e9b9d47051,transparent-local,transparent,local_nvme,148,518.79,1158.351,7066.894,1469.669648,52,44,52,0,24,0.458333,0.458333,0.0,3519.982,5259.652,100702.903,,148,0
local50,4,3a49f1f79b9fdd5df28ad41190dfb5839524ef397052bae178b7f4e9b9d47051,transparent-remote,transparent,remote_nof,148,160.181,285.44,550.49,2192.984861,52,44,52,0,24,0.458333,0.458333,0.0,1027.08,1339.032,67487.926,,0,148
local90,1,3a49f1f79b9fdd5df28ad41190dfb5839524ef397052bae178b7f4e9b9d47051,direct-local,direct,local_nvme,148,548.44,1113.541,2339.501,1521.613309,52,44,52,0,24,0.458333,0.458333,0.0,3256.551,4996.013,97265.185,,148,0
local90,1,3a49f1f79b9fdd5df28ad41190dfb5839524ef397052bae178b7f4e9b9d47051,direct-remote,direct,remote_nof,148,161.05,249.11,313.991,2478.071786,52,44,52,0,24,0.458333,0.458333,0.0,909.6,958.731,59723.855,,0,148
local90,1,3a49f1f79b9fdd5df28ad41190dfb5839524ef397052bae178b7f4e9b9d47051,no_store,no_store,,148,1000.0,1000.0,1000.0,1541.666667,52,44,52,0,24,0.458333,0.458333,0.0,4000.0,4000.0,0,,0,0
