scenario,target,metric,direct_median,transparent_median,ratio_of_medians_pct,median_paired_delta_pct,min_paired_delta_pct,max_paired_delta_pct
local50,remote_nof,put_p99_us,34739.9415,34119.6065,-1.785654,-12.614119,-18.741122,43.787128
local50,remote_nof,get_p50_us,159.385,160.2105,0.517928,0.103875,-0.47205,1.57818
local50,remote_nof,get_p95_us,173.525,172.49,-0.596456,-0.60518,-2.882521,0.857722
local50,remote_nof,get_p99_us,186.35,191.12,2.559699,2.582308,-0.675169,29.965157
local50,remote_nof,remove_p50_us,58.94,59.2955,0.603156,0.603107,-0.661691,0.900289
local50,remote_nof,remove_p95_us,67.46,68.015,0.82271,1.02758,-8.348821,4.752594
local50,remote_nof,remove_p99_us,83.925,84.1705,0.292523,-1.126961,-6.778538,22.255377
local90,local_nvme,p50_latency_us,549.2155,524.25,-4.545666,-4.465833,-5.960997,-3.505261
local90,local_nvme,p95_latency_us,1039.2,1131.3205,8.864559,7.519337,0.459157,20.035522
local90,local_nvme,p99_latency_us,7464.9635,1797.976,-75.91447,-37.653875,-86.344616,4.427081
local90,local_nvme,request_p50_latency_us,3251.2465,3437.9125,5.741367,5.304617,3.270282,7.684565
local90,local_nvme,request_p95_latency_us,4945.078,5243.0765,6.026164,4.889231,2.778035,9.427035
local90,local_nvme,storage_wait_us,98992.932,100940.446,1.967326,1.446265,-3.953907,7.428243
local90,local_nvme,operation_rate,1495.099392,1466.70743,-1.899002,-1.253031,-6.914609,4.116676
local90,local_nvme,put_p50_us,845.5855,888.205,5.040235,5.040731,2.975746,6.174089
local90,local_nvme,put_p95_us,1149.606,1254.5705,9.130476,8.98713,2.641118,19.134118
local90,local_nvme,put_p99_us,1731.466,1738.576,0.410635,2.094459,-3.362934,4.427081
local90,local_nvme,get_p50_us,549.2155,524.25,-4.545666,-4.465833,-5.960997,-3.505261
local90,local_nvme,get_p95_us,862.3405,829.4155,-3.818097,-13.01001,-34.332723,52.168742
local90,local_nvme,get_p99_us,17899.754,24236.2215,35.399746,27.320349,10.271272,45.044114
local90,local_nvme,remove_p50_us,56.79,57.125,0.589893,0.484642,-0.227273,1.394282
local90,local_nvme,remove_p95_us,66.285,64.565,-2.594856,-2.322777,-12.073419,-0.81551
local90,local_nvme,remove_p99_us,91.0855,83.22,-8.635293,-8.824306,-33.597905,362.205287
local90,remote_nof,p50_latency_us,160.3945,160.24,-0.096325,-0.397957,-1.617941,1.22938
local90,remote_nof,p95_latency_us,245.475,282.84,15.221509,14.718461,13.488108,18.459566
local90,remote_nof,p99_latency_us,332.835,478.26,43.692821,15.666088,8.825867,96.801819
local90,remote_nof,request_p50_latency_us,901.335,1030.0565,14.281205,14.425087,13.849569,14.588543
local90,remote_nof,request_p95_latency_us,954.4505,1295.6005,35.743079,20.951157,14.250082,54.318573
local90,remote_nof,storage_wait_us,60206.581,57371.252,-4.709334,-2.1972,-14.661472,7.888057
local90,remote_nof,operation_rate,2458.36107,2579.689885,4.935354,2.277206,-7.311335,17.180366
local90,remote_nof,put_p50_us,230.5,264.5205,14.759436,13.852778,13.735269,17.156287
local90,remote_nof,put_p95_us,263.38,374.59,42.224163,23.24231,19.260444,57.882756
local90,remote_nof,put_p99_us,37933.143,33070.8155,-12.818151,-8.614416,-26.190658,7.778773
local90,remote_nof,get_p50_us,160.3945,160.24,-0.096325,-0.397957,-1.617941,1.22938
local90,remote_nof,get_p95_us,172.9255,177.33,2.547051,0.741462,-0.166032,4.961921
local90,remote_nof,get_p99_us,191.515,197.4055,3.075738,4.636037,-7.478739,13.657511
local90,remote_nof,remove_p50_us,58.625,59.12,0.84435,0.758207,0.153741,1.10808
local90,remote_nof,remove_p95_us,66.775,67.645,1.302883,-0.205759,-2.243104,7.076875
local90,remote_nof,remove_p99_us,85.53,85.1855,-0.402783,0.551644,-2.974236,16.823308
remote_stress,local_nvme,p50_latency_us,568.3805,557.3555,-1.939722,-2.07499,-3.042843,2.105568
remote_stress,local_nvme,p95_latency_us,1227.7355,1287.2505,4.847542,4.855464,-1.649172,15.145459
remote_stress,local_nvme,p99_latency_us,10064.6145,10045.12,-0.193693,-4.015452,-38.219625,75.755573
remote_stress,local_nvme,request_p50_latency_us,3332.742,3410.2705,2.326268,3.258039,-1.506042,4.082822
remote_stress,local_nvme,request_p95_latency_us,5475.6965,5970.927,9.044155,9.704113,3.174341,13.126381
remote_stress,local_nvme,storage_wait_us,105149.426,106731.678,1.504765,0.816613,-5.904016,5.87887
remote_stress,local_nvme,operation_rate,1407.612018,1387.311911,-1.442166,-0.608426,-5.552449,6.274461
remote_stress,local_nvme,put_p50_us,869.7605,902.6205,3.778052,3.311882,2.008487,5.769911
remote_stress,local_nvme,put_p95_us,1295.376,1356.0955,4.687404,5.076189,1.088836,7.347463
remote_stress,local_nvme,put_p99_us,1948.5455,2045.1855,4.959597,2.522724,0.154523,7.941712
remote_stress,local_nvme,get_p50_us,568.3805,557.3555,-1.939722,-2.07499,-3.042843,2.105568
remote_stress,local_nvme,get_p95_us,978.6005,5155.1675,426.789788,444.98454,4.974911,615.649856
remote_stress,local_nvme,get_p99_us,17841.4485,12639.921,-29.154177,-25.083626,-41.81326,-11.293846
remote_stress,local_nvme,remove_p50_us,59.025,58.68,-0.584498,0.169979,-30.684658,2.519986
remote_stress,local_nvme,remove_p95_us,74.0445,71.615,-3.281135,-3.859376,-35.057885,8.580139
remote_stress,local_nvme,remove_p99_us,91.8495,85.7555,-6.634767,-6.634854,-60.455768,13.825687
remote_stress,remote_nof,p50_latency_us,1289.171,1281.4605,-0.598098,-0.255682,-0.698832,1.769694
remote_stress,remote_nof,p95_latency_us,1395.326,1427.7705,2.325227,10.490642,1.063959,16.244633
remote_stress,remote_nof,p99_latency_us,1542.7055,1554.786,0.783072,2.208868,-8.61758,53.749193
remote_stress,remote_nof,request_p50_latency_us,5448.3675,5483.1175,0.637806,8.4978,-0.953449,16.947962
remote_stress,remote_nof,request_p95_latency_us,5559.138,5782.8785,4.024734,9.185506,1.25941,34.563346
remote_stress,remote_nof,storage_wait_us,171240.6025,171262.759,0.012939,5.026722,-2.569094,19.186933
remote_stress,remote_nof,operation_rate,1482.562324,1358.678412,-8.356068,-4.363361,-16.098185,2.636837
remote_stress,remote_nof,put_p50_us,1370.1005,1385.2355,1.104663,9.043004,-0.519708,16.963105
remote_stress,remote_nof,put_p95_us,1422.051,1483.9705,4.354239,11.510874,0.495512,44.145408
remote_stress,remote_nof,put_p99_us,40846.249,40278.6995,-1.389478,0.802577,-19.78567,27.196401
remote_stress,remote_nof,get_p50_us,1289.171,1281.561,-0.590302,-0.255682,-0.690506,1.769694
remote_stress,remote_nof,get_p95_us,1316.126,1306.0255,-0.767442,0.0301,-4.607384,2.738659
remote_stress,remote_nof,get_p99_us,1468.1305,1364.7055,-7.044673,0.338781,-61.614464,10.713318
remote_stress,remote_nof,remove_p50_us,61.21,60.495,-1.16811,-1.168349,-32.560026,2.36998
remote_stress,remote_nof,remove_p95_us,71.965,72.505,0.750365,3.945652,-20.339674,4.557823
remote_stress,remote_nof,remove_p99_us,89.27,95.845,7.365296,4.34373,-14.448161,47.584342
