scenario,trial,target,mode,case_id,operation,count,mean_us,p50_us,p95_us,p99_us
local50,1,local_nvme,transparent,transparent-local,put,52,941.023788,865.43,1231.98,1732.211
local50,1,local_nvme,transparent,transparent-local,remove,52,58.854212,57.001,70.08,88.529
local50,1,remote_nof,transparent,transparent-remote,get,44,161.171886,160.331,169.47,182.37
local50,1,remote_nof,transparent,transparent-remote,put,52,1003.370308,270.43,358.42,38160.599
local50,1,remote_nof,transparent,transparent-remote,remove,52,60.293115,59.4,64.11,83.901
local50,2,local_nvme,direct,direct-local,get,44,1074.527818,553.13,909.26,15947.047
local50,2,local_nvme,direct,direct-local,put,52,906.297154,841.67,1190.97,1910.312
local50,2,local_nvme,direct,direct-local,remove,52,58.318904,56.65,73.96,82.51
local50,2,remote_nof,direct,direct-remote,get,44,162.491886,161.0,172.55,186.15
local50,2,remote_nof,direct,direct-remote,put,52,855.184154,231.3,253.69,32464.095
local50,2,remote_nof,direct,direct-remote,remove,52,60.600192,58.87,68.43,90.58
local50,2,,no_store,no_store,noop,52,0.0,0.0,0.0,0.0
local50,2,,no_store,no_store,recompute,96,1000.0,1000.0,1000.0,1000.0
local50,2,local_nvme,transparent,transparent-local,get,44,1166.789841,523.85,779.19,14895.657
local50,2,local_nvme,transparent,transparent-local,put,52,943.264154,876.801,1230.941,1780.251
local50,2,local_nvme,transparent,transparent-local,remove,52,57.6075,56.27,62.52,84.37
local50,2,remote_nof,transparent,transparent-remote,get,44,162.665273,160.24,174.03,196.88
local50,2,remote_nof,transparent,transparent-remote,put,52,839.377865,262.89,312.3,30025.084
local50,2,remote_nof,transparent,transparent-remote,remove,52,60.740904,59.4,69.929,84.44
local50,3,local_nvme,direct,direct-local,get,44,1193.183909,551.62,918.84,15352.557
local50,3,local_nvme,direct,direct-local,put,52,915.934885,842.18,1275.37,1817.131
local50,3,local_nvme,direct,direct-local,remove,52,58.517538,57.07,65.029,80.89
local50,3,remote_nof,direct,direct-remote,get,44,161.090773,158.74,172.361,186.55
local50,3,remote_nof,direct,direct-remote,put,52,942.358712,230.801,307.27,37015.788
local50,3,remote_nof,direct,direct-remote,remove,52,60.252692,58.92,66.49,80.43
local50,3,,no_store,no_store,noop,52,0.0,0.0,0.0,0.0
local50,3,,no_store,no_store,recompute,96,1000.0,1000.0,1000.0,1000.0
local50,3,local_nvme,transparent,transparent-local,get,44,1240.808841,594.831,1217.17,14688.477
local50,3,local_nvme,transparent,transparent-local,put,52,1034.090308,963.811,1305.221,1785.871
local50,3,local_nvme,transparent,transparent-local,remove,52,61.937115,60.38,71.14,91.7
local50,3,remote_nof,transparent,transparent-remote,get,44,162.257591,158.92,172.08,242.45
local50,3,remote_nof,transparent,transparent-remote,put,52,842.413192,262.76,340.641,30078.614
local50,3,remote_nof,transparent,transparent-remote,remove,52,61.239635,59.191,69.65,98.33
local50,4,local_nvme,direct,direct-local,get,44,1049.542773,529.01,740.221,22135.1
local50,4,local_nvme,direct,direct-local,put,52,891.7505,829.61,1139.431,1776.681
local50,4,local_nvme,direct,direct-local,remove,52,42.128538,41.08,46.9,67.02
