scenario,target,trials,median_direct_request_p50_latency_us,median_transparent_request_p50_latency_us,median_transparent_vs_direct_request_p50_latency_us_pct,median_direct_request_p95_latency_us,median_transparent_request_p95_latency_us,median_transparent_vs_direct_request_p95_latency_us_pct,median_direct_storage_wait_us,median_transparent_storage_wait_us,median_transparent_vs_direct_storage_wait_us_pct,median_direct_operation_rate,median_transparent_operation_rate,median_transparent_vs_direct_operation_rate_pct
conversation,local,3,19391.81,19871.321,2.472750093982968,73801.234,78715.409,4.482064044733276,2846532.818,2994678.882,4.055700699500732,2100.098745,1996.207352,-3.897624682078672
conversation,remote,3,6154.167,6834.601,11.945116690029714,26555.992,29790.123,11.7785055817158,928682.679,1024517.138,10.715047161905725,6437.07494,5834.943876,-9.678040543953843
toolagent,local,3,8948.916,9587.955,8.42447286352896,47546.261,50832.439,6.937832219828454,1697071.384,1868598.933,9.822377869468228,2076.518427,1885.904962,-8.943876528091055
toolagent,remote,3,2595.473,2906.982,12.07892070454009,15631.069,17414.204,11.607856713283239,567426.534,618563.576,9.012099176877761,6210.495613,5697.070013,-8.267063242509701
