scenario,requests,repeats,median_remote_qps_over_local,min_remote_qps_over_local,max_remote_qps_over_local,median_remote_request_p50_over_local,min_remote_request_p50_over_local,max_remote_request_p50_over_local,median_remote_request_p95_over_local,min_remote_request_p95_over_local,max_remote_request_p95_over_local,median_remote_request_p99_over_local,min_remote_request_p99_over_local,max_remote_request_p99_over_local,median_remote_read_p50_over_local,min_remote_read_p50_over_local,max_remote_read_p50_over_local,median_remote_write_p50_over_local,min_remote_write_p50_over_local,max_remote_write_p50_over_local,median_remote_completion_lag_over_local,min_remote_completion_lag_over_local,max_remote_completion_lag_over_local,median_remote_arrival_lag_p95_over_local,min_remote_arrival_lag_p95_over_local,max_remote_arrival_lag_p95_over_local
conversation,100,3,2.164179,2.132353,2.179104,0.460295,0.438599,0.477354,0.454093,0.450788,0.488188,0.430474,0.420217,0.450541,1.035912,1.014757,1.036375,0.463993,0.463044,0.469065,0.311306,0.303784,0.315952,0.273605,0.267402,0.274936
toolagent,100,3,1.858407,1.848214,1.866071,0.842332,0.822996,0.859718,0.463048,0.447434,0.477181,0.469656,0.459342,0.471493,0.969715,0.963446,0.99691,0.464195,0.456262,0.464849,0.445138,0.442646,0.45001,0.438304,0.435566,0.445566
