scenario,requests,path,repeats,median_tokens,median_total_io_time_s,median_qps,median_hit_rate_pct,median_replay_scale,median_scheduled_span_s,median_completion_lag_s,median_arrival_lag_p50_ms,median_arrival_lag_p95_ms,median_arrival_lag_max_ms,median_request_wall_p50_ms,median_request_wall_p95_ms,median_request_wall_p99_ms,median_request_io_p50_ms,median_request_io_p95_ms,median_request_io_p99_ms,median_read_count,median_read_bandwidth_mb_s,median_read_p50_ms,median_read_p95_ms,median_read_p99_ms,median_write_count,median_write_bandwidth_mb_s,median_write_p50_ms,median_write_p95_ms,median_write_p99_ms,median_written_pages,median_sync_count,median_elapsed_s,median_cpu_pct,median_max_rss_kb
conversation,100,local,3,1561500,148.597,0.67,3.26,1.0,33.0,115.597,43520.452,91292.478,115510.387,1032.279,4113.418,8817.123,1031.995,4112.011,8814.735,99,1515.8,35.141,35.802,36.881,2935,1085.09,47.13,60.265,74.28,2935,2935,148.92,62.0,140612
conversation,100,remote,3,1561500,68.962,1.45,3.26,1.0,33.0,35.962,13607.932,24978.035,35906.981,475.153,1904.515,3795.539,474.812,1903.062,3792.701,99,1509.31,35.894,39.183,41.354,2935,2407.0,21.908,25.989,28.898,2935,2935,69.28,54.0,134924
toolagent,100,local,3,988814,89.065,1.12,24.27,1.0,15.0,74.065,42277.237,66183.815,73812.743,474.452,2517.213,4324.026,474.237,2516.55,4322.852,473,1654.11,32.26,34.809,35.319,1476,1074.93,47.267,63.173,75.25,1476,1476,89.42,68.0,143420
toolagent,100,remote,3,988814,47.797,2.09,24.27,1.0,15.0,32.797,18374.556,28841.358,32587.359,398.47,1165.591,2038.722,398.238,1164.678,2037.235,473,1686.72,31.283,36.396,38.766,1476,2412.77,21.91,26.174,31.467,1476,1476,48.15,66.0,130632
