scenario,requests,repeats,median_remote_qps_over_local,min_remote_qps_over_local,max_remote_qps_over_local,median_remote_request_p50_over_local,min_remote_request_p50_over_local,max_remote_request_p50_over_local,median_remote_request_p95_over_local,min_remote_request_p95_over_local,max_remote_request_p95_over_local,median_remote_request_p99_over_local,min_remote_request_p99_over_local,max_remote_request_p99_over_local,median_remote_read_p50_over_local,min_remote_read_p50_over_local,max_remote_read_p50_over_local,median_remote_write_p50_over_local,min_remote_write_p50_over_local,max_remote_write_p50_over_local
conversation,20,3,2.30303,2.028986,2.323077,0.360153,0.348419,0.432929,0.467148,0.465103,0.512732,0.470169,0.435945,0.496332,0.995008,0.957954,1.070065,0.454803,0.450349,0.494663
conversation,50,3,1.988372,1.976471,2.216867,0.427611,0.376746,0.473721,0.509968,0.453396,0.517483,0.493923,0.449769,0.516166,1.034196,0.912367,1.064054,0.493952,0.462947,0.509703
conversation,100,3,2.117647,2.0,2.161765,0.457914,0.441198,0.489452,0.479211,0.442836,0.511067,0.488602,0.443241,0.542144,1.023522,0.985876,1.069093,0.470311,0.463864,0.503486
toolagent,20,3,2.051282,1.911392,2.113924,0.47936,0.471719,0.497493,0.493773,0.439746,0.514204,0.487662,0.47851,0.516347,0.985312,0.952317,0.989363,0.477137,0.468588,0.517617
toolagent,50,3,1.846154,1.76699,1.941176,0.815228,0.793294,0.833707,0.486709,0.453127,0.507923,0.504657,0.482496,0.547291,0.948743,0.945131,0.978495,0.485978,0.463841,0.52222
toolagent,100,3,1.794643,1.725664,1.866071,0.813974,0.800263,0.850502,0.484892,0.477464,0.517458,0.519091,0.480182,0.542993,0.943815,0.92946,0.976126,0.498176,0.46978,0.517132
